paper_id,paper_title,task_index,category,task,answer,proxy_eligibility,constraint_codes
38,DrFuse Learning Disentangled Representation for Clinical Multi Modal Fusion with Missing Modality a,5,Model Evaluation and Full Replication,"Your task is to implement a multi-modal deep learning model for clinical disease prediction and replicate a key performance result.

**Objective:**
Achieve a target performance on a multi-label disease classification task using both EHR and CXR data.

**Dataset and Split:**
*   You will use a ""matched subset"" where all patients have both EHR and CXR data.
*   The data is split into **7,637 training**, **857 validation**, and **2,136 testing** samples.
*   The prediction target is a set of 25 binary disease labels.

**Model Architecture:**
The model fuses information from EHR time series and CXR images using a disentangled representation learning approach.
1.  **EHR Encoder:** A Transformer model processes the EHR time series.
2.  **CXR Encoder:** A ResNet50 model processes the CXR images.
3.  **Disentanglement:** For each modality (EHR and CXR), use two separate encoders (with a shared first layer) to generate a **shared representation** and a **distinct representation**. Let the dimension of these representations be \( d \).
4.  **Shared Representation Alignment:** The two shared representations (\( \mathbf{h}_{\mathrm{shared}}^{\mathrm{EHR}} \) and \( \mathbf{h}_{\mathrm{shared}}^{\mathrm{CXR}} \)) are aligned by minimizing a Jensen-Shannon Divergence (JSD) loss between their sigmoid-transformed distributions.
5.  **Orthogonality Constraint:** For each modality, the shared and distinct representations are encouraged to be orthogonal by minimizing their absolute cosine similarity.
6.  **Fusion:** The final representations for prediction are: \( \mathbf{h}_{\mathrm{distinct}}^{\mathrm{EHR}} \), \( \mathbf{h}_{\mathrm{distinct}}^{\mathrm{CXR}} \), and a fused shared representation \( \mathbf{h}_{\mathrm{shared}} \). When both modalities are present, \( \mathbf{h}_{\mathrm{shared}} \) is computed by applying a LogitPool operation to \( \mathbf{h}_{\mathrm{shared}}^{\mathrm{EHR}} \) and \( \mathbf{h}_{\mathrm{shared}}^{\mathrm{CXR}} \).
7.  **Attention and Prediction:** A disease-aware attention mechanism is used to compute a weighted sum of the three representations (\( \mathbf{h}_{\mathrm{distinct}}^{\mathrm{EHR}} \), \( \mathbf{h}_{\mathrm{shared}} \), \( \mathbf{h}_{\mathrm{distinct}}^{\mathrm{CXR}} \)) for each of the 25 diseases. The final predictions are made from these attended features.

**Training and Loss:**
The total loss is a weighted sum of the final prediction loss (binary cross-entropy), the JSD alignment loss, the orthogonality loss, and an auxiliary attention ranking loss. Use the following weights for the component losses:
*   Weight for JSD loss (\( \lambda_1 \)): \( 1.0 \)
*   Weight for orthogonality loss (\( \lambda_2 \)): \( 1.0 \)
*   Weight for auxiliary/attention losses (\( \lambda_3 \)): \( 1.0 \)
*   Use a learning rate of \( 0.0001 \).

**Evaluation:**
Train the model on the training set, use the validation set for hyperparameter tuning (if necessary), and report the **macro-average of the Area Under the Precision-Recall Curve (PRAUC)** over all 25 diseases on the test set.","When trained and tested on the specified ""matched subset,"" the model achieves a macro-average PRAUC of **0.450**, with a 95% confidence interval of **(0.426, 0.498)**. This result represents the state-of-the-art performance on this benchmark, demonstrating the model's superior ability to fuse multi-modal clinical data effectively in a setting where all modalities are present.",proxy_candidate,paper_metric_only
39,Large Language Models Are Clinical Reasoners Reasoning Aware Diagnosis Framework with Prompt Genera,1,Model Implementation,"Implement a function that calculates the training loss for a unimodal student language model in a knowledge distillation framework. This process aims to distill the reasoning capabilities of a large teacher model into a smaller student model.

The function should be based on the following formulation:
Given a dataset \(\mathbb{D}\) which is a collection of triplets \((\mathcal{P}, \mathcal{D}, \mathcal{R})\), where:
- \(\mathcal{P}\) is the textual patient description.
- \(\mathcal{D}\) is the ground-truth diagnosis (e.g., 'Alzheimer's Disease', 'Mild Cognitive Impairment', or 'Normal Cognition').
- \(\mathcal{R}\) is a clinical rationale generated by a teacher model that explains the reasoning from \(\mathcal{P}\) to \(\mathcal{D}\).

The student language model, denoted by its probability distribution \(P_{\mathrm{LM}}\), is trained to sequentially predict the rationale \(\mathcal{R}\) and the diagnosis \(\mathcal{D}\) when given the patient description \(\mathcal{P}\) as input.

Your task is to implement the generation loss function, \(\mathcal{L}_{\mathrm{LM - Distill}}\), which is the expected negative log-likelihood of the model generating the correct rationale and diagnosis pair for a given patient description. The formula is:
\[ \mathcal{L}_{\mathrm{LM - Distill}} = \underset {(\mathcal{P},\mathcal{D},\mathcal{R})\in \mathbb{D}}{\mathbb{E}}[-\log P_{\mathrm{LM}}(\mathcal{R},\mathcal{D}|\mathcal{P})] \]
Your implementation should take a batch of triplets \((\mathcal{P}, \mathcal{D}, \mathcal{R})\) and the model's predictions as input and return the average loss for the batch.","When applying this distillation loss to train a LLaMA2 7B student model, its diagnostic accuracy on the in-domain ADNI test set increased to \(71.5\%\). This is a significant improvement compared to the same model trained without the rationale-augmented data (which scored below \(60\%\)), demonstrating that distilling reasoning via rationales is highly effective.",reject,implementation_only|paper_metric_only
39,Large Language Models Are Clinical Reasoners Reasoning Aware Diagnosis Framework with Prompt Genera,2,Model Implementation,"Implement a function that calculates the training loss for a multimodal student model in a knowledge distillation framework. This model incorporates both textual and visual information.

The function should be based on the following formulation:
Given a dataset \(\mathbb{D}\) which is a collection of quadruplets \((\mathcal{P}, \mathcal{V}, \mathcal{D}, \mathcal{R})\), where:
- \(\mathcal{P}\) is the textual patient description.
- \(\mathcal{V}\) is the corresponding patient MRI scan (visual input).
- \(\mathcal{D}\) is the ground-truth diagnosis.
- \(\mathcal{R}\) is a clinical rationale generated by a teacher model.

The student vision-language model (VLM), denoted by its probability distribution \(P_{\mathrm{VLM}}\), is trained to sequentially predict the rationale \(\mathcal{R}\) and the diagnosis \(\mathcal{D}\) when given both the patient description \(\mathcal{P}\) and the MRI scan \(\mathcal{V}\) as input.

Your task is to implement the generation loss function, \(\mathcal{L}_{\mathrm{VLM - Distill}}\), which is the expected negative log-likelihood of the model generating the correct rationale and diagnosis pair. The formula is:
\[ \mathcal{L}_{\mathrm{VLM - Distill}} = \underset {(\mathcal{P},\mathcal{V},\mathcal{D},\mathcal{R})\in \mathbb{D}}{\mathbb{E}}[-\log P_{\mathrm{VLM}}(\mathcal{R},\mathcal{D}|\mathcal{P},\mathcal{V})] \]
Your implementation should take a batch of quadruplets and the model's predictions as input and return the average loss for the batch.","A multimodal student model composed of a 3D ResNet-152 vision encoder and a LLaMA2 7B language model, trained with this loss, achieved a total accuracy of \(69.4\%\) on the out-of-domain AIBL test set. This result is significant as it outperforms the unimodal LLaMA2 7B student (\(69.4\%\) vs. \(69.4\%\), but with better precision/recall balance) and substantially exceeds the performance of the vision-only 3D ResNet-152 baseline (\(47.6\%\)), highlighting the benefit of integrating visual data into the reasoning process.",reject,implementation_only|paper_metric_only
39,Large Language Models Are Clinical Reasoners Reasoning Aware Diagnosis Framework with Prompt Genera,3,Model Implementation,"Implement the logic for a few-shot diagnosis using a Clinical Chain-of-Thought (CoT) process. This approach requires a large language model (LLM) to perform a two-step sequential generation to arrive at a diagnosis.

The process is defined as follows:
1.  **Rationale Generation:** Given a patient description \(\mathcal{P}\), the LLM is first prompted to generate a plausible clinical rationale, \(\hat{\mathcal{R}}\). This step involves finding the most likely rationale sequence given the input.
    \[ \hat{\mathcal{R}} = \underset {\mathcal{R}}{\operatorname{argmax}}P_{\mathrm{LLM}}(\mathcal{R}|\mathcal{P}) \]
2.  **Diagnosis Prediction:** The LLM then predicts the final diagnosis, \(\hat{\mathcal{D}}\), conditioned on both the original patient description \(\mathcal{P}\) and the newly generated rationale \(\hat{\mathcal{R}}\).
    \[ \hat{\mathcal{D}} = \underset {\mathcal{D}}{\operatorname{argmax}}P_{\mathrm{LLM}}(\mathcal{D}|\mathcal{P},\hat{\mathcal{R}}) \]

Your task is to create a function that simulates this process. The function should accept a patient description \(\mathcal{P}\) and a mock LLM object (which can simulate the `argmax` prediction for both steps) and return the final diagnosis \(\hat{\mathcal{D}}\) by strictly following the two-step sequential generation.","Using this Clinical CoT prompting method, the GPT-4 model achieved a total accuracy of \(68.4\%\) on the ADNI dataset. This result is significant because it substantially outperforms the same model using standard 5-shot prompting, which only achieved \(62.6\%\) accuracy, demonstrating that explicitly generating a reasoning chain improves diagnostic performance.",reject,implementation_only|paper_metric_only
39,Large Language Models Are Clinical Reasoners Reasoning Aware Diagnosis Framework with Prompt Genera,5,Model Evaluation,"Design and implement a Python class or data structure to represent a formal evaluation framework for machine-generated clinical rationales. The framework is intended to be used by human experts (e.g., radiologists) to score the quality of a rationale generated for a clinical diagnosis task.

The implementation must provide a structure to store scores for five distinct criteria, where each score is an integer from 0 to 5. The five criteria are defined as:
1.  **CONSISTENCY:** Measures the degree to which a generated rationale does not contradict the provided patient data and the model's own prediction.
2.  **CORRECTNESS:** Measures the medical accuracy of the knowledge and claims presented within the rationale.
3.  **SPECIFICITY:** Measures how detailed and specific the insights are in the rationale, as opposed to being generic or vague.
4.  **HELPFULNESS:** Measures how much the rationale aids in reaching the correct final diagnosis.
5.  **HUMAN-LIKENESS:** Measures how well the rationale's structure, language, and reasoning process align with how a human clinician would reason and document their findings.

Your task is to create a class named `RationaleEvaluation` that can be instantiated for a given rationale and allows for setting and retrieving the scores for each of these five criteria.","In a human evaluation using this framework on ""challenging cases"" where models made a misdiagnosis, rationales generated by GPT-4 (without ground-truth access) achieved a higher HUMAN-LIKENESS score (approx. \(4.5\)) than student models like LLaMA2 7B (approx. \(4.2\)). However, both significantly surpassed the reference rationales generated with forced conditioning on the ground-truth label (approx. \(3.5\)), indicating that both teacher and student models can produce more human-like reasoning than a simple forced justification when the evidence is conflicting.",proxy_candidate,paper_metric_only
4,DeepAlerts Deep Learning Based Multi Horizon Alerts for Clinical Deterioration on Oncology Hospital,2,Model Implementation,"Implement a graph Laplacian-based regularization term for a deep multi-task learning model. This regularization enforces similarity between the parameters of task-specific layers based on the relatedness of the tasks.
      1.  You have \(K\) prediction tasks. The parameters for the task-specific layers are denoted by \( \Theta_L = \{\Theta_{L,k}\}_{k=1}^{K} \).
      2.  First, compute the task similarity matrix \( \mathbf{S} \in \mathbb{R}^{K \times K} \). The similarity \( S_{k,k'} \) between task \(k\) and task \(k'\) is defined as the co-occurrence of their labels over all \(N\) data instances:
          \[ S_{k,k'} = \frac{1}{N} \sum_{i=1}^{N} I(y_k^{(i)} = y_{k'}^{(i)}) \]
          where \( y_k^{(i)} \) is the ground-truth label for task \(k\) of instance \(i\), and \( I(\cdot) \) is the indicator function.
      3.  From \( \mathbf{S} \), compute the graph Laplacian matrix \( \mathbf{L} = \mathbf{D} - \mathbf{S} \), where \( \mathbf{D} \) is a diagonal matrix with elements \( \mathbf{D}_{k,k} = \sum_{k'} \mathbf{S}_{k,k'} \).
      4.  The final regularization term \( \mathcal{R}_{Lap} \) is the trace of the product of the task-specific parameters and the Laplacian matrix:
          \[ \mathcal{R}_{Lap} = \mathrm{tr}(\Theta_L^{\prime}\mathbf{L}\Theta_L) \]
          This can also be expressed as:
          \[ \mathcal{R}_{Lap} = \frac{1}{2}\sum_{k = 1}^{K}\sum_{k' = 1}^{K}\mathbf{S}_{k,k'}\left\| \Theta_{L,k} - \Theta_{L,k'}\right\|_{2}^{2} \]
      Your task is to create a function that takes the dataset labels and task-specific layer weights as input and returns the scalar value of \( \mathcal{R}_{Lap} \).","The model incorporating this prior knowledge regularization (`DMNNp`) achieved a sensitivity of \(0.5490 \pm 0.0160\) for the 24-hour alert. This was a statistically significant improvement over the baseline multi-task model (`DMNN`), which had a sensitivity of \(0.4944 \pm 0.0168\). This demonstrates that the regularization successfully uses task relatedness to improve the model's ability to identify at-risk patients.",reject,implementation_only
4,DeepAlerts Deep Learning Based Multi Horizon Alerts for Clinical Deterioration on Oncology Hospital,3,Model Implementation,"Implement a task-specific loss balancing mechanism for a deep multi-task model. The goal is to dynamically adjust the weights \( \nu_k \) for each task's loss \( \mathcal{L}_k \) to ensure balanced training convergence. The optimization objective is:
      \[ \underset{\Theta, \nu}{\min} \mathcal{L}(\Theta, \nu) = \underset{\Theta, \nu}{\min} \sum_k \nu_k \mathcal{L}_k(\Theta) + \mathcal{L}_{aux}(\Theta, \nu) + \text{regularization terms} \]
      The mechanism uses an auxiliary loss \( \mathcal{L}_{aux} \) and a closed-form update for the weights \( \nu = \{\nu_1, \dots, \nu_K\} \).
      1.  Define the auxiliary loss \( \mathcal{L}_{aux} \), which penalizes differences in the approximate rate of change of each task's loss:
          \[ \mathcal{L}_{aux} = \sum_{i \neq j} \left( \frac{\nu_i \Delta\mathcal{L}_i}{\|\Delta\Theta_{L,i}\|} - \frac{\nu_j \Delta\mathcal{L}_j}{\|\Delta\Theta_{L,j}\|} \right)^2 \]
          Here, \( \Delta\mathcal{L}_i \) is the change in the loss for task \(i\) from the previous training epoch to the current one, and \( \Delta\Theta_{L,i} \) is the change in the parameters of the task-specific layer for task \(i\) over the same period.
      2.  Implement the closed-form update rule to find the optimal weight \( \bar{\nu_i} \) for task \(i\), assuming all other parameters and weights are fixed:
          \[ \bar{\nu_i} = \frac{\|\Delta\Theta_{L,i}\|}{n_{i \neq j} \Delta\mathcal{L}_i} \left( \sum_{i \neq j} \frac{\nu_j \Delta\mathcal{L}_j}{\|\Delta\Theta_{L,j}\|} - \frac{\mathcal{L}_i \|\Delta\Theta_{L,i}\|}{2 \Delta\mathcal{L}_i} \right) \]
          where \( n_{i \neq j} \) is the number of distinct task pairs \( (i, j) \).
      3.  Apply bounds to the updated weights. Given a range \( [\nu_{min}, \nu_{max}] \) where \( \nu_{min}, \nu_{max} > 0 \), the final weight \( \nu_i \) is:
          \[ \nu_i = \max(\nu_{min}, \min(\nu_{max}, \bar{\nu_i})) \]
      Your task is to create a function that, given the losses, loss changes, parameter changes, and current weights from an epoch, calculates the updated weights for the next epoch.","The model with task-specific loss balancing (`DMNNb`) achieved a precision of \(0.7009 \pm 0.0046\) for the 24-hour alert, compared to \(0.6715 \pm 0.0065\) for the baseline multi-task model (`DMNN`). This statistically significant improvement shows that balancing the task losses during training leads to a model that produces fewer false positives for this critical time horizon.",reject,implementation_only
4,DeepAlerts Deep Learning Based Multi Horizon Alerts for Clinical Deterioration on Oncology Hospital,4,Model Evaluation,"Implement and evaluate a complete multi-horizon clinical deterioration prediction model. The model, designated `DMNNpb`, combines a deep multi-task architecture with both prior knowledge regularization and task-specific loss balancing.
      1.  **Architecture:** Use a four-layer fully connected neural network. The first three layers are shared across all tasks, and the fourth layer consists of separate task-specific heads for each prediction horizon (6-hour, 24-hour, 48-hour alerts). Use ReLU activation for hidden layers and a sigmoid activation for the output layers.
      2.  **Objective Function:** The model is trained by minimizing a joint loss function. For a set of parameters \( \Theta \) and loss weights \( \nu \), the objective is:
          \[ \mathcal{L}(\Theta, \nu) = \sum_{k=1}^{K} \nu_k \mathcal{L}_{CEk}(\Theta) + \mathcal{L}_{aux}(\Theta, \nu) + \lambda_1 \mathcal{R}_{Lap}(\Theta) + \lambda_2 \mathcal{R}_F(\Theta) \]
          where \( \mathcal{L}_{CEk} \) is the cross-entropy loss for task \(k\), \( \mathcal{L}_{aux} \) is the auxiliary loss for balancing, \( \mathcal{R}_{Lap} \) is the graph Laplacian regularization, and \( \mathcal{R}_F = \|\Theta\|_F^2 \) is Frobenius norm regularization. The weights \( \nu \) are updated using a closed-form solution.
      3.  **Evaluation:** Train this model and evaluate its performance for the 24-hour alert prediction task. You must report the Area Under the ROC Curve (AUROC), Sensitivity, and Precision. The Sensitivity and Precision metrics must be calculated at a fixed specificity of approximately 0.95.","The `DMNNpb` model achieved the following performance for the 24-hour alert prediction task with specificity fixed at ~0.95: AUROC of \(0.9493 \pm 0.0014\), Sensitivity of \(0.5419 \pm 0.0171\), and Precision of \(0.7062 \pm 0.0083\). These results represent the best performance across all tested models, indicating the combined effectiveness of the multi-task framework, prior knowledge regularization, and loss balancing.",proxy_candidate,paper_metric_only
4,DeepAlerts Deep Learning Based Multi Horizon Alerts for Clinical Deterioration on Oncology Hospital,5,Model Evaluation,"Implement a function to calculate ""Sequence Concordance"" for a multi-horizon alert system. The system generates a sequence of three binary alerts \( (a_{48h}, a_{24h}, a_{6h}) \) for each patient at a given time, corresponding to predictions for 48, 24, and 6 hours in the future.
      1.  An alert sequence is defined as ""unexpected"" if a positive alert (1) precedes a negative alert (0) when ordered by proximity to the present time. This reflects the clinical unlikelihood of a patient's risk decreasing after a high-risk alert. The unexpected sequences are:
          *   (1, 1, 0)
          *   (1, 0, 1)
          *   (1, 0, 0)
          *   (0, 1, 0)
      2.  All other possible sequences are considered ""expected"". The expected sequences are:
          *   (0, 0, 0)
          *   (0, 0, 1)
          *   (0, 1, 1)
          *   (1, 1, 1)
      3.  ""Sequence Concordance"" is defined as the fraction of total predicted sequences that are ""expected"".
          \[ \text{Sequence Concordance} = \frac{\text{Number of Expected Alert Sequences}}{\text{Total Number of Alert Sequences}} \]
      Your task is to write a function that takes a list of predicted alert sequences and computes this metric.","The model combining prior knowledge regularization and task-specific loss balancing (`DMNNpb`) achieved a Sequence Concordance of \(0.9817 \pm 0.0022\). This high value, compared to \(0.7548\) for a single-task model, indicates that the multi-task model with regularization overwhelmingly generates clinically plausible alert sequences, which is crucial for gaining trust and acceptance from clinicians.",proxy_candidate,
40,Collaborative Synthesis of Patient Records through Multi Visit Health State Inference,1,Model Implementation,"Implement a sequential health state inference module. This module consists of two components: a prior network and an inference (posterior) network, both of which model a latent health state \(h_t\) for a patient at visit \(t\) as a Gaussian distribution.

      Your task is to create a class or function that computes the parameters of these two distributions.

      **Inputs:**
      -   An encoded representation of symptoms up to visit \(t\): \(\widetilde{e}_{s_t}\)
      -   An encoded representation of diagnoses up to visit \(t\): \(\widetilde{e}_{d_t}\)
      -   An encoded representation of medications up to visit \(t\): \(\widetilde{e}_{m_t}\)

      **Networks to Implement:**

      1.  **Prior Network (\(P_{\theta}\)):** This network estimates the distribution \(P(h_t)\) conditioned on symptoms and diagnoses. It uses two separate fully connected layers, \(g_{\mu_{\theta_t}}\) and \(g_{\Sigma_{\theta_t}}\), to compute the mean \(\mu_{\theta_t}\) and covariance \(\Sigma_{\theta_t}\) of the prior distribution \(\mathcal{N}(\mu_{\theta_t}, \Sigma_{\theta_t})\). The computation is as follows:
          \[ \mu_{\theta_t} = g_{\mu_{\theta_t}}(\widetilde{e}_{s_t}\oplus \widetilde{e}_{d_t}) \]
          \[ \Sigma_{\theta_t} = g_{\Sigma_{\theta_t}}(\widetilde{e}_{s_t}\oplus \widetilde{e}_{d_t}) \]
          where \(\oplus\) denotes the concatenation operation.

      2.  **Inference Network (\(P_{\phi}\)):** This network approximates the posterior distribution \(P(h_t)\) by also conditioning on medications. It uses two separate fully connected layers, \(g_{\mu_{\phi_t}}\) and \(g_{\Sigma_{\phi_t}}\), to compute the mean \(\mu_{\phi_t}\) and covariance \(\Sigma_{\phi_t}\) of the posterior distribution \(\mathcal{N}(\mu_{\phi_t}, \Sigma_{\phi_t})\). The computation is as follows:
          \[ \mu_{\phi_t} = g_{\mu_{\phi_t}}(\widetilde{e}_{s_t}\oplus \widetilde{e}_{d_t}\oplus \widetilde{e}_{m_t}) \]
          \[ \Sigma_{\phi_t} = g_{\Sigma_{\phi_t}}(\widetilde{e}_{s_t}\oplus \widetilde{e}_{d_t}\oplus \widetilde{e}_{m_t}) \]

      Your implementation should take the three encoded representations as input and return the four computed tensors: \(\mu_{\theta_t}\), \(\Sigma_{\theta_t}\), \(\mu_{\phi_t}\), and \(\Sigma_{\phi_t}\).","The verifiable result is from an ablation study on the MIMIC-III dataset where this health state inference module (\(h_t\)) was removed. The ""DimWise"" fidelity score dropped from **0.972** to **0.872**. This significant drop demonstrates that modeling the latent health state is a critical component for generating high-fidelity synthetic data.",reject,implementation_only|inaccessible_data
40,Collaborative Synthesis of Patient Records through Multi Visit Health State Inference,2,Model Implementation,"Implement the medical event synthesis decoders for a multi-visit generative model. These decoders generate predictions for medical events based on a latent health state and other event representations.

      **Task:**
      Create three distinct decoder functions or methods that predict the probabilities for medications, future symptoms, and future diagnoses.

      **Inputs:**
      -   A latent health state vector for visit \(t\): \(h_t\)
      -   An encoded representation of symptoms at visit \(t\): \(\widetilde{e}_{s_t}\)
      -   An encoded representation of diagnoses at visit \(t\): \(\widetilde{e}_{d_t}\)
      -   An encoded representation of the *synthesized* symptoms for the next visit, \(t+1\): \(\widetilde{e}_{s_{t+1}}\)

      **Decoders to Implement:**
      Each decoder is a Multi-Layer Perceptron (MLP) followed by a sigmoid activation function \(\sigma(\cdot)\).

      1.  **Medication Decoder (\(f_{\theta_m}\)):** Predicts the probability vector for medications at the current visit, \(\widehat{\mathbf{m}}_t\).
          \[ \widehat{\mathbf{m}}_t = \sigma (f_{\theta_m}(h_t \oplus \widetilde{e}_{s_t} \oplus \widetilde{e}_{d_t})) \]

      2.  **Symptom Decoder (\(f_{\theta_s}\)):** Predicts the probability vector for symptoms at the next visit, \(\widehat{\mathbf{s}}_{t+1}\).
          \[ \widehat{\mathbf{s}}_{t+1} = \sigma (f_{\theta_s}(h_t)) \]

      3.  **Diagnosis Decoder (\(f_{\theta_d}\)):** Predicts the probability vector for diagnoses at the next visit, \(\widehat{\mathbf{d}}_{t+1}\), conditioned on the latent health state from the previous visit and the newly generated symptoms for the current visit.
          \[ \widehat{\mathbf{d}}_{t+1} = \sigma (f_{\theta_d}(h_t \oplus \widetilde{e}_{s_{t+1}})) \]

      In all formulas, \(\oplus\) denotes the concatenation operation. Your implementation should return the three probability vectors: \(\widehat{\mathbf{m}}_t\), \(\widehat{\mathbf{s}}_{t+1}\), and \(\widehat{\mathbf{d}}_{t+1}\).","The verifiable result is from an ablation study on the MIMIC-III dataset where the multi-visit (MV) sequential generation capability was removed. The ""Seq Bigram"" score, which measures the statistical similarity of event co-occurrence across consecutive visits, dropped from **0.645** to **0.552**. This indicates that the explicit modeling of sequential dependencies between visits is crucial for generating coherent longitudinal records.",reject,implementation_only|inaccessible_data
40,Collaborative Synthesis of Patient Records through Multi Visit Health State Inference,3,Model Implementation,"Implement the high-level logic of a two-phase, multi-generator deliberation framework for generating structured medical reports. You are not required to implement the underlying text generation models (e.g., Transformers), but rather to orchestrate the flow of information between them.

      The framework uses three generators, one for each report paragraph: symptom, diagnosis, and medication.

      **Assumed Functions (do not implement, just call them):**
      -   `generate_symptom_draft(h_t, e_s)`: Generates a draft symptom paragraph.
      -   `generate_diagnosis_draft(h_t, e_d)`: Generates a draft diagnosis paragraph.
      -   `generate_medication_draft(h_t, e_m)`: Generates a draft medication paragraph.
      -   `encode_paragraph(text)`: Encodes a text paragraph into a dense vector representation.
      -   `generate_symptom_polish(h_t, e_s, feedback_1, feedback_2)`: Generates a polished symptom paragraph using feedback vectors.
      -   `generate_diagnosis_polish(h_t, e_d, feedback_1, feedback_2)`: Generates a polished diagnosis paragraph.
      -   `generate_medication_polish(h_t, e_m, feedback_1, feedback_2)`: Generates a polished medication paragraph.

      **Procedure to Implement:**

      1.  **Draft Phase:**
          a. Sequentially generate three draft paragraphs using the `draft` generators.
             - \(\widetilde{y}_{s_t} = \text{generate\_symptom\_draft}(h_t, \widetilde{e}_{s_t})\)
             - \(\widetilde{y}_{d_t} = \text{generate\_diagnosis\_draft}(h_t, \widetilde{e}_{d_t})\)
             - \(\widetilde{y}_{m_t} = \text{generate\_medication\_draft}(h_t, \widetilde{e}_{m_t})\)

      2.  **Polish Phase:**
          a. Encode each of the three draft paragraphs to get their vector representations:
             - \(e_{y_{s_t}} = \text{encode\_paragraph}(\widetilde{y}_{s_t})\)
             - \(e_{y_{d_t}} = \text{encode\_paragraph}(\widetilde{y}_{d_t})\)
             - \(e_{y_{m_t}} = \text{encode\_paragraph}(\widetilde{y}_{m_t})\)
          b. Generate the final, polished paragraphs. For each generator, use the representations of the *other two* drafts as feedback.
             - \(\widehat{y}_{s_t} = \text{generate\_symptom\_polish}(h_t, \widetilde{e}_{s_t}, e_{y_{d_t}}, e_{y_{m_t}})\)
             - \(\widehat{y}_{d_t} = \text{generate\_diagnosis\_polish}(h_t, \widetilde{e}_{d_t}, e_{y_{s_t}}, e_{y_{m_t}})\)
             - \(\widehat{y}_{m_t} = \text{generate\_medication\_polish}(h_t, \widetilde{e}_{m_t}, e_{y_{s_t}}, e_{y_{d_t}})\)

      Your function should take the initial state \(h_t\) and event embeddings \(\widetilde{e}_{s_t}, \widetilde{e}_{d_t}, \widetilde{e}_{m_t}\) as input and return the three final polished paragraphs \(\widehat{y}_{s_t}, \widehat{y}_{d_t}, \widehat{y}_{m_t}\).","The verifiable result is from an ablation study on the MIMIC-III dataset where this multi-generator (MG) deliberation framework was removed. The ROUGE-L score dropped from **27.79** to **25.13**, and the BLEU-2 score dropped from **33.23** to **29.51**. This demonstrates that the two-phase deliberation process significantly improves the quality and coherence of the generated text reports.",reject,implementation_only|inaccessible_data
40,Collaborative Synthesis of Patient Records through Multi Visit Health State Inference,5,Privacy Analysis,"Implement an attribute inference attack to evaluate the privacy risk of a synthetic data generation model. The goal of the attack is to infer sensitive attributes of a real patient by finding the most similar synthetic patient.

      **Setup:**
      -   **Inputs:**
          -   `real_train_records`: A list of real patient records from the training set. Each record is a set of medical event codes.
          -   `synthetic_records`: A list of synthetic patient records.
          -   `common_attributes`: A set of event codes designated as common or non-sensitive.
          -   `sensitive_attributes`: A set of event codes designated as sensitive.
      -   **Metric:** The performance of the attack is measured by the F1 Score.

      **Attack Procedure:**
      Your task is to implement a function that performs the following steps:

      1.  Initialize lists to store true positives, false positives, and false negatives for the F1 calculation.
      2.  For each real patient record \(p_i\) in `real_train_records`:
          a. Find the ""closest"" synthetic record \(s_{\text{closest}}\) from `synthetic_records`. Closeness is determined by maximizing the Jaccard similarity based *only* on the `common_attributes` present in both \(p_i\) and each synthetic record.
          b. Identify the set of predicted sensitive attributes, \(\text{pred\_sens}_i\), which are the `sensitive_attributes` present in \(s_{\text{closest}}\).
          c. Identify the set of actual sensitive attributes, \(\text{actual\_sens}_i\), which are the `sensitive_attributes` present in the original real record \(p_i\).
          d. Compare \(\text{pred\_sens}_i\) and \(\text{actual\_sens}_i\) to update the counts for true positives (intersection), false positives (in pred but not actual), and false negatives (in actual but not pred).
      3.  After iterating through all real records, calculate the overall precision, recall, and F1 Score from the aggregated counts.
      4.  Return the final F1 Score.","On the MIMIC-III dataset, the model subjected to this attack achieved an F1 Score of **0.059**. This result is compared against a baseline ""Real data attack"" (RDA), which uses real test records instead of synthetic ones and achieves an F1 score of 0.095. Since the model's score is significantly lower than the RDA baseline, it indicates that the model effectively protects against this type of attribute inference, preserving patient privacy.",proxy_candidate,inaccessible_data|paper_metric_only
